OCCTITLE,ANNMEDSAL,EDLEVEL,EDLEVELNUM,county
Rail-Track Laying and Maintenance Equipment Operators,53263,High school diploma or equivalent,2,spokane
"Recreation and Fitness Studies Teachers, Postsecondary",55148,Doctoral or professional degree,9,yakima
"Recreation and Fitness Studies Teachers, Postsecondary",52088,Doctoral or professional degree,9,snohomish
"Recreation and Fitness Studies Teachers, Postsecondary",52088,Doctoral or professional degree,9,king
"Recreation and Fitness Studies Teachers, Postsecondary",57229,Doctoral or professional degree,9,spokane
"Recreation and Fitness Studies Teachers, Postsecondary",67510,Doctoral or professional degree,9,vancouver
Recreational Therapists,42343,Bachelor's degree,6,spokane
Recreational Therapists,53024,Bachelor's degree,6,yakima
Recreational Therapists,52493,Bachelor's degree,6,vancouver
Recreational Therapists,58587,Bachelor's degree,6,snohomish
Recreational Therapists,58587,Bachelor's degree,6,king
"Refractory Materials Repairers, Except Brickmasons",42430,High school diploma or equivalent,2,vancouver
"Refractory Materials Repairers, Except Brickmasons",42430,High school diploma or equivalent,2,yakima
"Refractory Materials Repairers, Except Brickmasons",42430,High school diploma or equivalent,2,snohomish
"Refractory Materials Repairers, Except Brickmasons",42430,High school diploma or equivalent,2,spokane
"Refractory Materials Repairers, Except Brickmasons",42430,High school diploma or equivalent,2,king
Registered Nurses,65959,Bachelor's degree,6,yakima
Registered Nurses,74101,Bachelor's degree,6,spokane
Registered Nurses,85457,Bachelor's degree,6,snohomish
Registered Nurses,85457,Bachelor's degree,6,king
Registered Nurses,86644,Bachelor's degree,6,vancouver
Reinforcing Iron and Rebar Workers,62211,Apprenticeship,3,vancouver
Reinforcing Iron and Rebar Workers,62211,Apprenticeship,3,spokane
Reinforcing Iron and Rebar Workers,62221,Apprenticeship,3,snohomish
Reinforcing Iron and Rebar Workers,62221,Apprenticeship,3,king
Reinforcing Iron and Rebar Workers,62221,Apprenticeship,3,yakima
Respiratory Therapists,60291,Associate's degree,5,yakima
Respiratory Therapists,66942,Associate's degree,5,vancouver
Respiratory Therapists,67799,Associate's degree,5,spokane
Respiratory Therapists,71982,Associate's degree,5,snohomish
Respiratory Therapists,71982,Associate's degree,5,king
Respiratory Therapy Technicians,67400,Associate's degree,5,yakima
Respiratory Therapy Technicians,67400,Associate's degree,5,snohomish
Respiratory Therapy Technicians,67400,Associate's degree,5,vancouver
Respiratory Therapy Technicians,67400,Associate's degree,5,spokane
Respiratory Therapy Technicians,67400,Associate's degree,5,king
Sales Engineers,86634,Bachelor's degree,6,spokane
Sales Engineers,93831,Bachelor's degree,6,yakima
Sales Engineers,119347,Bachelor's degree,6,vancouver
Sales Engineers,119399,Bachelor's degree,6,snohomish
Sales Engineers,119399,Bachelor's degree,6,king
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",78346,Bachelor's degree,6,yakima
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",84444,Bachelor's degree,6,vancouver
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",94063,Bachelor's degree,6,snohomish
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",94063,Bachelor's degree,6,king
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",98125,Bachelor's degree,6,spokane
"Secondary School Teachers, Except Special and Career/Technical Education",57695,Bachelor's degree,6,yakima
"Secondary School Teachers, Except Special and Career/Technical Education",65563,Bachelor's degree,6,snohomish
"Secondary School Teachers, Except Special and Career/Technical Education",65563,Bachelor's degree,6,king
Sheet Metal Workers,37059,Apprenticeship,3,spokane
Sheet Metal Workers,56486,Apprenticeship,3,vancouver
Sheet Metal Workers,58168,Apprenticeship,3,snohomish
Sheet Metal Workers,58168,Apprenticeship,3,king
Sheet Metal Workers,60833,Apprenticeship,3,yakima
Ship Engineers,59056,Postsecondary nondegree award,7,yakima
Ship Engineers,65281,Postsecondary nondegree award,7,vancouver
Ship Engineers,76173,Postsecondary nondegree award,7,spokane
Ship Engineers,81619,Postsecondary nondegree award,7,snohomish
Ship Engineers,81619,Postsecondary nondegree award,7,king
Social Science Research Assistants,38541,Bachelor's degree,6,snohomish
Social Science Research Assistants,38541,Bachelor's degree,6,king
Social Science Research Assistants,48569,Bachelor's degree,6,spokane
Social Science Research Assistants,52666,Bachelor's degree,6,vancouver
Social Science Research Assistants,61315,Bachelor's degree,6,yakima
"Social Sciences Teachers, Postsecondary, All Other",71789,Doctoral or professional degree,9,snohomish
"Social Sciences Teachers, Postsecondary, All Other",71789,Doctoral or professional degree,9,king
"Social Sciences Teachers, Postsecondary, All Other",85549,Doctoral or professional degree,9,yakima
"Social Sciences Teachers, Postsecondary, All Other",85623,Doctoral or professional degree,9,spokane
"Social Sciences Teachers, Postsecondary, All Other",113291,Doctoral or professional degree,9,vancouver
"Social Scientists and Related Workers, All Other",67916,Bachelor's degree,6,snohomish
"Social Scientists and Related Workers, All Other",67916,Bachelor's degree,6,king
"Social Scientists and Related Workers, All Other",68220,Bachelor's degree,6,spokane
"Social Scientists and Related Workers, All Other",78664,Bachelor's degree,6,vancouver
"Social Scientists and Related Workers, All Other",67084,Bachelor's degree,6,yakima
Sociologists,67084,Master's degree,8,snohomish
Sociologists,67084,Master's degree,8,king
Sociologists,67084,Master's degree,8,yakima
Sociologists,67084,Master's degree,8,vancouver
Sociologists,67084,Master's degree,8,spokane
"Sociology Teachers, Postsecondary",67084,Doctoral or professional degree,9,yakima
"Sociology Teachers, Postsecondary",74922,Doctoral or professional degree,9,vancouver
"Sociology Teachers, Postsecondary",78674,Doctoral or professional degree,9,spokane
"Sociology Teachers, Postsecondary",80550,Doctoral or professional degree,9,snohomish
"Sociology Teachers, Postsecondary",80550,Doctoral or professional degree,9,king
"Software Developers, Applications",80276,Bachelor's degree,6,spokane
"Software Developers, Applications",92251,Bachelor's degree,6,vancouver
"Software Developers, Applications",99359,Bachelor's degree,6,yakima
"Software Developers, Applications",119101,Bachelor's degree,6,snohomish
"Software Developers, Applications",119101,Bachelor's degree,6,king
"Software Developers, Systems Software",65827,Bachelor's degree,6,yakima
"Software Developers, Systems Software",93123,Bachelor's degree,6,spokane
"Software Developers, Systems Software",103516,Bachelor's degree,6,vancouver
"Software Developers, Systems Software",117418,Bachelor's degree,6,snohomish
"Software Developers, Systems Software",117418,Bachelor's degree,6,king
Soil and Plant Scientists,52595,Bachelor's degree,6,vancouver
Soil and Plant Scientists,62967,Bachelor's degree,6,yakima
Soil and Plant Scientists,65302,Bachelor's degree,6,spokane
Soil and Plant Scientists,72823,Bachelor's degree,6,snohomish
Soil and Plant Scientists,72823,Bachelor's degree,6,king
Solar Photovoltaic Installers,39431,High school diploma or equivalent,2,yakima
Solar Photovoltaic Installers,39431,High school diploma or equivalent,2,snohomish
Solar Photovoltaic Installers,39431,High school diploma or equivalent,2,king
Sound Engineering Technicians,39431,Postsecondary nondegree award,7,yakima
Sound Engineering Technicians,50333,Postsecondary nondegree award,7,vancouver
Sound Engineering Technicians,55187,Postsecondary nondegree award,7,spokane
Sound Engineering Technicians,57614,Postsecondary nondegree award,7,snohomish
Sound Engineering Technicians,57614,Postsecondary nondegree award,7,king
Speech-Language Pathologists,71495,Master's degree,8,spokane
Speech-Language Pathologists,74750,Master's degree,8,yakima
Speech-Language Pathologists,75003,Master's degree,8,snohomish
Speech-Language Pathologists,75003,Master's degree,8,king
Speech-Language Pathologists,77751,Master's degree,8,vancouver
Stationary Engineers and Boiler Operators,57975,High school diploma or equivalent,2,spokane
Stationary Engineers and Boiler Operators,64266,High school diploma or equivalent,2,snohomish
Stationary Engineers and Boiler Operators,64266,High school diploma or equivalent,2,king
Stationary Engineers and Boiler Operators,66065,High school diploma or equivalent,2,yakima
Statistical Assistants,43962,Bachelor's degree,6,spokane
Statistical Assistants,46215,Bachelor's degree,6,vancouver
Statistical Assistants,51776,Bachelor's degree,6,snohomish
Statistical Assistants,51776,Bachelor's degree,6,king
Statistical Assistants,48432,Bachelor's degree,6,yakima
Statisticians,49550,Master's degree,8,yakima
Statisticians,71170,Master's degree,8,vancouver
Statisticians,74527,Master's degree,8,spokane
Statisticians,87404,Master's degree,8,snohomish
Statisticians,87404,Master's degree,8,king
Stonemasons,83112,Apprenticeship,3,yakima
Stonemasons,33350,Apprenticeship,3,spokane
Stonemasons,46011,Apprenticeship,3,vancouver
Stonemasons,52341,Apprenticeship,3,snohomish
Stonemasons,52341,Apprenticeship,3,king
Structural Iron and Steel Workers,46011,Apprenticeship,3,yakima
Structural Iron and Steel Workers,57773,Apprenticeship,3,vancouver
Structural Iron and Steel Workers,60641,Apprenticeship,3,spokane
Structural Iron and Steel Workers,77554,Apprenticeship,3,snohomish
Structural Iron and Steel Workers,77554,Apprenticeship,3,king
Structural Metal Fabricators and Fitters,36540,High school diploma or equivalent,2,spokane
Structural Metal Fabricators and Fitters,41008,High school diploma or equivalent,2,vancouver
Structural Metal Fabricators and Fitters,42443,High school diploma or equivalent,2,snohomish
Structural Metal Fabricators and Fitters,42443,High school diploma or equivalent,2,king
Structural Metal Fabricators and Fitters,44611,High school diploma or equivalent,2,yakima
Surgeons,221243,Doctoral or professional degree,9,spokane
Surgeons,219342,Doctoral or professional degree,9,snohomish
Surgeons,219342,Doctoral or professional degree,9,king
Surgeons,225044,Doctoral or professional degree,9,vancouver
Surgeons,236447,Doctoral or professional degree,9,yakima
Surgical Technologists,46014,Postsecondary nondegree award,7,yakima
Surgical Technologists,51307,Postsecondary nondegree award,7,spokane
Surgical Technologists,51712,Postsecondary nondegree award,7,vancouver
Surgical Technologists,52331,Postsecondary nondegree award,7,snohomish
Surgical Technologists,52331,Postsecondary nondegree award,7,king
Survey Researchers,52125,Master's degree,8,yakima
Survey Researchers,63718,Master's degree,8,snohomish
Survey Researchers,63718,Master's degree,8,king
Survey Researchers,64509,Master's degree,8,spokane
Survey Researchers,66090,Master's degree,8,vancouver
Surveying and Mapping Technicians,38440,High school diploma or equivalent,2,yakima
Surveying and Mapping Technicians,50881,High school diploma or equivalent,2,vancouver
Surveying and Mapping Technicians,52230,High school diploma or equivalent,2,spokane
Surveying and Mapping Technicians,56336,High school diploma or equivalent,2,snohomish
Surveying and Mapping Technicians,56336,High school diploma or equivalent,2,king
Surveyors,66861,Bachelor's degree,6,spokane
Surveyors,71789,Bachelor's degree,6,yakima
Surveyors,72022,Bachelor's degree,6,vancouver
Surveyors,73847,Bachelor's degree,6,snohomish
Surveyors,73847,Bachelor's degree,6,king
"Tax Examiners and Collectors, and Revenue Agents",46785,Bachelor's degree,6,yakima
"Tax Examiners and Collectors, and Revenue Agents",50536,Bachelor's degree,6,spokane
"Tax Examiners and Collectors, and Revenue Agents",56458,Bachelor's degree,6,snohomish
"Tax Examiners and Collectors, and Revenue Agents",56458,Bachelor's degree,6,king
Tax Preparers,29669,High school diploma or equivalent,2,yakima
Tax Preparers,31173,High school diploma or equivalent,2,spokane
Tax Preparers,37344,High school diploma or equivalent,2,snohomish
Tax Preparers,37344,High school diploma or equivalent,2,king
Tax Preparers,40538,High school diploma or equivalent,2,vancouver
"Telecommunications Equipment Installers and Repairers, Except Line Installers",54335,Postsecondary nondegree award,7,spokane
"Telecommunications Equipment Installers and Repairers, Except Line Installers",54609,Postsecondary nondegree award,7,yakima
"Telecommunications Equipment Installers and Repairers, Except Line Installers",63564,Postsecondary nondegree award,7,vancouver
"Telecommunications Equipment Installers and Repairers, Except Line Installers",65977,Postsecondary nondegree award,7,snohomish
"Telecommunications Equipment Installers and Repairers, Except Line Installers",65977,Postsecondary nondegree award,7,king
Telecommunications Line Installers and Repairers,43880,High school diploma or equivalent,2,vancouver
Telecommunications Line Installers and Repairers,48494,High school diploma or equivalent,2,spokane
Telecommunications Line Installers and Repairers,54508,High school diploma or equivalent,2,yakima
Telecommunications Line Installers and Repairers,58878,High school diploma or equivalent,2,snohomish
Telecommunications Line Installers and Repairers,58878,High school diploma or equivalent,2,king
Tellers,28496,High school diploma or equivalent,2,yakima
Tellers,30627,High school diploma or equivalent,2,snohomish
Tellers,30627,High school diploma or equivalent,2,king
"Therapists, All Other",58901,Bachelor's degree,6,snohomish
"Therapists, All Other",58901,Bachelor's degree,6,king
"Therapists, All Other",63312,Bachelor's degree,6,yakima
"Therapists, All Other",63312,Bachelor's degree,6,spokane
"Therapists, All Other",72134,Bachelor's degree,6,vancouver
Tool and Die Makers,46797,High school diploma or equivalent,2,yakima
Tool and Die Makers,54240,High school diploma or equivalent,2,spokane
Tool and Die Makers,57507,High school diploma or equivalent,2,vancouver
Tool and Die Makers,65683,High school diploma or equivalent,2,snohomish
Tool and Die Makers,65683,High school diploma or equivalent,2,king
Urban and Regional Planners,64417,Master's degree,8,yakima
Urban and Regional Planners,68675,Master's degree,8,spokane
Urban and Regional Planners,82709,Master's degree,8,vancouver
Urban and Regional Planners,85062,Master's degree,8,snohomish
Urban and Regional Planners,85062,Master's degree,8,king
Veterinarians,84839,Doctoral or professional degree,9,yakima
Veterinarians,85325,Doctoral or professional degree,9,vancouver
Veterinarians,89199,Doctoral or professional degree,9,snohomish
Veterinarians,89199,Doctoral or professional degree,9,king
Veterinarians,99592,Doctoral or professional degree,9,spokane
Veterinary Assistants and Laboratory Animal Caretakers,25608,High school diploma or equivalent,2,spokane
Veterinary Assistants and Laboratory Animal Caretakers,25628,High school diploma or equivalent,2,vancouver
Veterinary Assistants and Laboratory Animal Caretakers,27110,High school diploma or equivalent,2,yakima
Veterinary Assistants and Laboratory Animal Caretakers,28479,High school diploma or equivalent,2,snohomish
Veterinary Assistants and Laboratory Animal Caretakers,28479,High school diploma or equivalent,2,king
Veterinary Technologists and Technicians,30196,Associate's degree,5,yakima
Veterinary Technologists and Technicians,32163,Associate's degree,5,spokane
Veterinary Technologists and Technicians,35063,Associate's degree,5,vancouver
Veterinary Technologists and Technicians,35641,Associate's degree,5,snohomish
Veterinary Technologists and Technicians,35641,Associate's degree,5,king
"Vocational Education Teachers, Postsecondary",48752,Bachelor's degree,6,spokane
"Vocational Education Teachers, Postsecondary",51966,Bachelor's degree,6,yakima
"Vocational Education Teachers, Postsecondary",58648,Bachelor's degree,6,snohomish
"Vocational Education Teachers, Postsecondary",58648,Bachelor's degree,6,king
"Vocational Education Teachers, Postsecondary",63789,Bachelor's degree,6,vancouver
Water and Wastewater Treatment Plant and System Operators,52215,High school diploma or equivalent,2,yakima
Water and Wastewater Treatment Plant and System Operators,55695,High school diploma or equivalent,2,vancouver
Water and Wastewater Treatment Plant and System Operators,58474,High school diploma or equivalent,2,spokane
Water and Wastewater Treatment Plant and System Operators,71971,High school diploma or equivalent,2,snohomish
Water and Wastewater Treatment Plant and System Operators,71971,High school diploma or equivalent,2,king
Web Developers,66679,Associate's degree,5,spokane
Web Developers,72205,Associate's degree,5,vancouver
Web Developers,75764,Associate's degree,5,yakima
Web Developers,88743,Associate's degree,5,snohomish
Web Developers,88743,Associate's degree,5,king
"Welders, Cutters, Solderers, and Brazers",37425,High school diploma or equivalent,2,yakima
"Welders, Cutters, Solderers, and Brazers",37995,High school diploma or equivalent,2,spokane
"Welders, Cutters, Solderers, and Brazers",42647,High school diploma or equivalent,2,vancouver
"Welders, Cutters, Solderers, and Brazers",49599,High school diploma or equivalent,2,snohomish
"Welders, Cutters, Solderers, and Brazers",49599,High school diploma or equivalent,2,king
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",31512,High school diploma or equivalent,2,yakima
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",37985,High school diploma or equivalent,2,vancouver
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",39787,High school diploma or equivalent,2,snohomish
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",39787,High school diploma or equivalent,2,king
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",42647,High school diploma or equivalent,2,spokane
"Wholesale and Retail Buyers, Except Farm Products",48224,Bachelor's degree,6,yakima
"Wholesale and Retail Buyers, Except Farm Products",48265,Bachelor's degree,6,spokane
"Wholesale and Retail Buyers, Except Farm Products",54501,Bachelor's degree,6,snohomish
"Wholesale and Retail Buyers, Except Farm Products",54501,Bachelor's degree,6,king
"Wholesale and Retail Buyers, Except Farm Products",54592,Bachelor's degree,6,vancouver
Zoologists and Wildlife Biologists,67561,Bachelor's degree,6,spokane
Zoologists and Wildlife Biologists,72985,Bachelor's degree,6,vancouver
Zoologists and Wildlife Biologists,73847,Bachelor's degree,6,yakima
Zoologists and Wildlife Biologists,84382,Bachelor's degree,6,snohomish
Zoologists and Wildlife Biologists,84382,Bachelor's degree,6,king
